id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
121483,Jan Oblak,Goalkeeper,"Jan 7, 1993",31,['Slovenia'],"1,88m",right,"Jul 16, 2014",SL Benfica,"Jun 30, 2028",€28.00m,,
242359,Juan Musso,Goalkeeper,"May 6, 1994",30,"['Argentina', 'Italy']","1,91m",right,"Aug 27, 2024",Atalanta BC,"Jun 30, 2025",€5.00m,"On loan from Atalanta BC until Jun 30, 2025",
351809,Robin Le Normand,Centre-Back,"Nov 11, 1996",27,"['Spain', 'France']","1,87m",right,"Jul 27, 2024",Real Sociedad,"Jun 30, 2029",€40.00m,"Joined from Real Sociedad; date: Jul 27, 2024; fee: €34.50m",
250845,José María Giménez,Centre-Back,"Jan 20, 1995",29,"['Uruguay', 'Spain']","1,85m",right,"Apr 25, 2013",: Ablöse €995k,"Jun 30, 2028",€22.00m,,
182904,Clément Lenglet,Centre-Back,"Jun 17, 1995",29,['France'],"1,86m",left,"Aug 26, 2024",FC Barcelona,"Jun 30, 2025",€10.00m,"On loan from FC Barcelona until Jun 30, 2025",
35047,Axel Witsel,Centre-Back,"Jan 12, 1989",35,"['Belgium', 'Martinique']","1,86m",right,"Jul 6, 2022",Borussia Dortmund,"Jun 30, 2025",€3.50m,,
57500,César Azpilicueta,Centre-Back,"Aug 28, 1989",35,['Spain'],"1,78m",right,"Jul 6, 2023",Chelsea FC,"Jun 30, 2025",€2.00m,,
240692,Reinildo Mandava,Left-Back,"Jan 21, 1994",30,['Mozambique'],"1,80m",left,"Jan 31, 2022",LOSC Lille,"Jun 30, 2025",€9.00m,,
448628,Javi Galán,Left-Back,"Nov 19, 1994",29,['Spain'],"1,72m",left,"Jul 3, 2023",Celta de Vigo,"Jun 30, 2026",€7.00m,"Returned after loan spell with Real Sociedad; date: Jun 30, 2024; fee: End of loan",
424042,Nahuel Molina,Right-Back,"Apr 6, 1998",26,['Argentina'],"1,75m",right,"Jul 28, 2022",Udinese Calcio,"Jun 30, 2027",€28.00m,,
488362,Conor Gallagher,Central Midfield,"Feb 6, 2000",24,"['England', 'Ireland']","1,82m",right,"Aug 21, 2024",Chelsea FC,"Jun 30, 2029",€50.00m,"Joined from Chelsea FC; date: Aug 21, 2024; fee: €42.00m",
255901,Rodrigo de Paul,Central Midfield,"May 24, 1994",30,"['Argentina', 'Italy']","1,80m",right,"Jul 12, 2021",Udinese Calcio,"Jun 30, 2026",€30.00m,,
775605,Pablo Barrios,Central Midfield,"Jun 15, 2003",21,['Spain'],"1,81m",right,"Jan 23, 2023",Atlético de Madrid B,"Jun 30, 2028",€25.00m,,
74229,Koke,Central Midfield,"Jan 8, 1992",32,['Spain'],"1,76m",right,"Jan 1, 2011",: Ablöse -,"Jun 30, 2025",€12.00m,,Team captain
282411,Marcos Llorente,Right Midfield,"Jan 30, 1995",29,['Spain'],"1,84m",right,"Jul 1, 2019",Real Madrid,"Jun 30, 2027",€30.00m,,
694928,Samuel Lino,Left Midfield,"Dec 23, 1999",24,['Brazil'],"1,70m",right,"Jul 8, 2022",Gil Vicente FC,"Jun 30, 2027",€30.00m,,
205562,Thomas Lemar,Attacking Midfield,"Nov 12, 1995",28,"['France', 'Guadeloupe']","1,71m",left,"Jul 1, 2018",AS Monaco,"Jun 30, 2027",€10.00m,,
461617,Rodrigo Riquelme,Left Winger,"Apr 2, 2000",24,['Spain'],"1,74m",right,"Jul 1, 2020",Atlético de Madrid B,"Jun 30, 2028",€25.00m,,
266807,Ángel Correa,Second Striker,"Mar 9, 1995",29,"['Argentina', 'Spain']","1,71m",right,"Jan 1, 2015",CA San Lorenzo de Almagro,"Jun 30, 2026",€18.00m,,
576024,Julián Alvarez,Centre-Forward,"Jan 31, 2000",24,"['Argentina', 'Italy']","1,70m",right,"Aug 12, 2024",Manchester City,"Jun 30, 2030",€90.00m,"Joined from Manchester City; date: Aug 12, 2024; fee: €75.00m",
125781,Antoine Griezmann,Centre-Forward,"Mar 21, 1991",33,['France'],"1,76m",left,"Jul 1, 2023",FC Barcelona,"Jun 30, 2026",€25.00m,,
238407,Alexander Sørloth,Centre-Forward,"Dec 5, 1995",28,['Norway'],"1,95m",left,"Aug 3, 2024",Villarreal CF,"Jun 30, 2028",€25.00m,"Joined from Villarreal CF; date: Aug 3, 2024; fee: €32.00m",
742201,Giuliano Simeone,Centre-Forward,"Dec 18, 2002",21,"['Argentina', 'Italy']","1,73m",right,"Jul 1, 2022",Atlético de Madrid B,"Jun 30, 2028",€3.00m,"Returned after loan spell with Deportivo Alavés; date: Jun 30, 2024; fee: End of loan",
566036,Borja Garcés,Centre-Forward,"Aug 6, 1999",25,['Spain'],"1,83m",right,"Jul 1, 2021",Atlético de Madrid B,"Jun 30, 2025",€2.00m,"Returned after loan spell with Elche CF; date: Jun 30, 2024; fee: End of loan","Cruciate ligament tear - Return expected on Dec 26, 2024"
