id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
226012,David Soria,Goalkeeper,"Apr 4, 1993",31,['Spain'],"1,92m",right,"Jul 13, 2018",Sevilla FC,"Jun 30, 2026",€5.00m,,
339079,Jiri Letacek,Goalkeeper,"Jan 9, 1999",25,['Czech Republic'],"1,96m",right,"Jul 13, 2024",FC Banik Ostrava,"Jun 30, 2028",€600k,"Joined from FC Banik Ostrava; date: Jul 13, 2024; fee: €2.00m",
353032,Omar Alderete,Centre-Back,"Dec 26, 1996",27,['Paraguay'],"1,88m",left,"Jul 1, 2023",Hertha BSC,"Jun 30, 2028",€5.00m,,
221150,Djené,Centre-Back,"Dec 31, 1991",32,['Togo'],"1,78m",right,"Jul 24, 2017",Sint-Truidense VV,"Jun 30, 2025",€2.50m,,Team captain
257376,Domingos Duarte,Centre-Back,"Mar 10, 1995",29,['Portugal'],"1,92m",right,"Jul 11, 2022",Granada CF,"Jun 30, 2026",€2.00m,,
461843,Juan Berrocal,Centre-Back,"Feb 5, 1999",25,['Spain'],"1,87m",both,"Aug 19, 2024",SD Eibar,"Jun 30, 2027",€1.00m,"Joined from SD Eibar; date: Aug 19, 2024; fee: €2.20m",
249513,Diego Rico,Left-Back,"Feb 23, 1993",31,['Spain'],"1,83m",left,"Jul 16, 2024",Real Sociedad,"Jun 30, 2026",€1.50m,"Joined from Real Sociedad; date: Jul 16, 2024; fee: €1.50m",
268506,Fabrizio Angileri,Left-Back,"Mar 15, 1994",30,"['Argentina', 'Italy']","1,85m",left,"Jul 14, 2022",CA River Plate,"Jun 30, 2026",€1.00m,,
390688,Juan Iglesias,Right-Back,"Jul 3, 1998",26,['Spain'],"1,87m",right,"Jul 1, 2021",Getafe CF B,"Jun 30, 2026",€2.50m,,
1124005,Chrisantus Uche,Defensive Midfield,"May 19, 2003",21,['Nigeria'],"1,90m",both,"Jul 1, 2024",AD Ceuta FC,"Jun 30, 2028",€400k,"Joined from AD Ceuta FC; date: Jul 1, 2024; fee: €500k",
290249,Mauro Arambarri,Central Midfield,"Sep 30, 1995",28,"['Uruguay', 'Spain']","1,75m",right,"Jul 1, 2018",CA Boston River,"Jun 30, 2028",€5.00m,,
281989,Luis Milla,Central Midfield,"Oct 7, 1994",29,['Spain'],"1,75m",right,"Jul 25, 2022",Granada CF,"Jun 30, 2027",€3.50m,,
284854,Carles Aleñá,Central Midfield,"Jan 5, 1998",26,['Spain'],"1,80m",left,"Jul 10, 2021",FC Barcelona,"Jun 30, 2026",€3.00m,,
941869,Yellu Santiago,Central Midfield,"May 25, 2004",20,['Spain'],"1,92m",right,"Jan 10, 2024",Valencia Mestalla,"Jun 30, 2025",€1.00m,,
434990,Álex Sola,Right Winger,"Jun 9, 1999",25,['Spain'],"1,78m",right,"Jul 15, 2024",Real Sociedad,"Jun 30, 2027",€4.00m,"Joined from Real Sociedad; date: Jul 15, 2024; fee: €1.00m",
710004,Peter Federico,Right Winger,"Jul 25, 2002",22,"['Dominican Republic', 'Spain']","1,80m",left,"Jul 4, 2024",Real Madrid Castilla,"Jun 30, 2028",€3.00m,"Joined from Real Madrid Castilla; date: Jul 4, 2024; fee: €2.00m",
282810,Carles Pérez,Right Winger,"Feb 16, 1998",26,['Spain'],"1,73m",left,"Jul 30, 2024",Celta de Vigo,"Jun 30, 2025",€2.50m,"On loan from Celta de Vigo until Jun 30, 2025",
298976,Borja Mayoral,Centre-Forward,"Apr 5, 1997",27,['Spain'],"1,82m",right,"Aug 1, 2022",Real Madrid,"Jun 30, 2027",€15.00m,,
672803,Bertuğ Yıldırım,Centre-Forward,"Jul 12, 2002",22,['Türkiye'],"1,91m",right,"Aug 23, 2024",Stade Rennais FC,"Jun 30, 2025",€3.50m,"On loan from Stade Rennais FC until Jun 30, 2025",
948275,Álvaro Rodríguez,Centre-Forward,"Jul 14, 2004",20,"['Uruguay', 'Spain']","1,93m",left,"Aug 29, 2024",Real Madrid,"Jun 30, 2025",€3.50m,"On loan from Real Madrid until Jun 30, 2025",
