id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status,joined
108390,Thibaut Courtois,Goalkeeper,"May 11, 1992",32,['Belgium'],"2,00m",left,"Aug 9, 2018",Chelsea FC,"Jun 30, 2026",€28.00m,,
404839,Andriy Lunin,Goalkeeper,"Feb 11, 1999",25,['Ukraine'],"1,91m",right,"Jul 1, 2018",: Ablöse €8.50m,"Jun 30, 2025",€25.00m,,
401530,Éder Militão,Centre-Back,"Jan 18, 1998",26,"['Brazil', 'Spain']","1,86m",right,"Jul 1, 2019",FC Porto,"Jun 30, 2028",€60.00m,,
86202,Antonio Rüdiger,Centre-Back,"Mar 3, 1993",31,"['Germany', 'Sierra Leone']","1,90m",right,"Jul 1, 2022",Chelsea FC,"Jun 30, 2026",€25.00m,,
59016,David Alaba,Centre-Back,"Jun 24, 1992",32,['Austria'],"1,80m",left,"Jul 1, 2021",Bayern Munich,"Jun 30, 2026",€20.00m,Cruciate ligament tear - Return unknown,
251896,Jesús Vallejo,Centre-Back,"Jan 5, 1997",27,['Spain'],"1,84m",right,"Jul 31, 2015",Real Zaragoza,"Jun 30, 2025",€1.00m,Muscle injury - Return unknown,"Returned after loan spell with Granada CF; date: Jun 30, 2024; fee: End of loan"
291417,Ferland Mendy,Left-Back,"Jun 8, 1995",29,"['France', 'Senegal']","1,80m",left,"Jul 1, 2019",: Ablöse €48.00m,"Jun 30, 2025",€22.00m,,
341264,Fran García,Left-Back,"Aug 14, 1999",25,['Spain'],"1,69m",left,"Jul 1, 2023",Rayo Vallecano,"Jun 30, 2027",€15.00m,,
138927,Daniel Carvajal,Right-Back,"Jan 11, 1992",32,['Spain'],"1,73m",right,"Jul 1, 2013",Bayer 04 Leverkusen,"Jun 30, 2025",€12.00m,,
221316,Lucas Vázquez,Right-Back,"Jul 1, 1991",33,['Spain'],"1,73m",right,"Jul 2, 2015",RCD Espanyol Barcelona,"Jun 30, 2025",€4.00m,,
413112,Aurélien Tchouaméni,Defensive Midfield,"Jan 27, 2000",24,"['France', 'Cameroon']","1,88m",right,"Jul 1, 2022",AS Monaco,"Jun 30, 2028",€100.00m,,
369081,Federico Valverde,Central Midfield,"Jul 22, 1998",26,"['Uruguay', 'Spain']","1,82m",right,"Jul 1, 2018",Real Madrid Castilla,"Jun 30, 2029",€120.00m,,
640428,Eduardo Camavinga,Central Midfield,"Nov 10, 2002",21,"['France', 'Congo']","1,82m",left,"Aug 31, 2021",Stade Rennais FC,"Jun 30, 2029",€100.00m,Knee injury - Return unknown,
27992,Luka Modric,Central Midfield,"Sep 9, 1985",38,['Croatia'],"1,72m",right,"Aug 27, 2012",Tottenham Hotspur,"Jun 30, 2025",€6.00m,Team captain,
319745,Dani Ceballos,Central Midfield,"Aug 7, 1996",28,['Spain'],"1,79m",right,"Jul 14, 2017",Real Betis Balompié,"Jun 30, 2027",€6.00m,,
581678,Jude Bellingham,Attacking Midfield,"Jun 29, 2003",21,"['England', 'Ireland']","1,86m",right,"Jul 1, 2023",Borussia Dortmund,"Jun 30, 2029",€180.00m,"Muscle injury - Return expected on Sep 23, 2024",
314678,Brahim Díaz,Attacking Midfield,"Aug 3, 1999",25,"['Morocco', 'Spain']","1,70m",both,"Jan 6, 2019",Manchester City,"Jun 30, 2027",€40.00m,,
371998,Vinicius Junior,Left Winger,"Jul 12, 2000",24,"['Brazil', 'Spain']","1,76m",right,"Jul 12, 2018",CR Flamengo,"Jun 30, 2027",€180.00m,,
412363,Rodrygo,Right Winger,"Jan 9, 2001",23,"['Brazil', 'Spain']","1,74m",right,"Jul 1, 2019",Santos FC,"Jun 30, 2028",€110.00m,,
861410,Arda Güler,Right Winger,"Feb 25, 2005",19,['Türkiye'],"1,75m",left,"Jul 6, 2023",Fenerbahce,"Jun 30, 2029",€45.00m,,
342229,Kylian Mbappé,Centre-Forward,"Dec 20, 1998",25,"['France', 'Cameroon']","1,78m",right,"Jul 1, 2024",Paris Saint-Germain,"Jun 30, 2029",€180.00m,,"Joined from Paris Saint-Germain; date: Jul 1, 2024; fee: free transfer"
971570,Endrick,Centre-Forward,"Jul 21, 2006",18,['Brazil'],"1,73m",left,"Jul 21, 2024",Sociedade Esportiva Palmeiras,"Jun 30, 2030",€60.00m,,"Joined from Sociedade Esportiva Palmeiras; date: Jul 21, 2024; fee: €47.50m"
