id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,joined,signedFrom,contract,marketValue,status
502676,Giorgi Mamardashvili,Goalkeeper,"Sep 29, 2000",23,['Georgia'],"1,97m",left,"Aug 28, 2024","On loan from Liverpool FC until Jun 30, 2025",Liverpool FC,"Jun 30, 2025",€45.00m,
165467,Stole Dimitrievski,Goalkeeper,"Dec 25, 1993",30,"['North Macedonia', 'Spain']","1,88m",right,"Jul 1, 2024","Joined from Rayo Vallecano; date: Jul 1, 2024; fee: free transfer",Rayo Vallecano,"Jun 30, 2026",€4.00m,
227805,Jaume Doménech,Goalkeeper,"Nov 5, 1990",33,['Spain'],"1,85m",right,"Jul 1, 2015",,Valencia Mestalla,"Jun 30, 2025",€800k,
646750,Cristhian Mosquera,Centre-Back,"Jun 27, 2004",20,"['Spain', 'Colombia']","1,91m",right,"Jan 1, 2023",,Valencia Mestalla,"Jun 30, 2026",€30.00m,
895334,Yarek Gasiorowski,Centre-Back,"Jan 12, 2005",19,"['Spain', 'Poland']","1,92m",left,"Oct 1, 2023",,Valencia Mestalla,"Jun 30, 2025",€15.00m,
369267,Maximiliano Caufriez,Centre-Back,"Feb 16, 1997",27,['Belgium'],"1,89m",right,"Aug 29, 2024","On loan from Clermont Foot 63 until Jun 30, 2025",Clermont Foot 63,"Jun 30, 2025",€2.50m,
346289,Mouctar Diakhaby,Centre-Back,"Dec 19, 1996",27,"['Guinea', 'France']","1,92m",right,"Jul 1, 2018",,: Ablöse €15.00m,"Jun 30, 2027",€2.00m,"Knee injury - Return expected on Mar 1, 2025"
707274,César Tárrega,Centre-Back,"Feb 26, 2002",22,['Spain'],"1,94m",right,"Jan 18, 2024","Returned after loan spell with Real Valladolid CF; date: Jun 30, 2024; fee: End of loan",Valencia Mestalla,"Jun 30, 2028",€1.50m,
221322,José Gayà,Left-Back,"May 25, 1995",29,['Spain'],"1,72m",left,"Jul 1, 2014",,Valencia Mestalla,"Jun 30, 2027",€25.00m,"Team captain; Muscle injury - Return expected on Sep 15, 2024"
623024,Jesús Vázquez,Left-Back,"Jan 2, 2003",21,['Spain'],"1,82m",left,"Jan 1, 2022",,Valencia Mestalla,"Jun 30, 2026",€3.00m,
367466,Thierry Correia,Right-Back,"Mar 9, 1999",25,"['Portugal', 'Cape Verde']","1,76m",right,"Sep 2, 2019",,Sporting CP,"Jun 30, 2026",€6.00m,
170472,Dimitri Foulquier,Right-Back,"Mar 23, 1993",31,"['Guadeloupe', 'France']","1,83m",right,"Aug 30, 2021",,Granada CF,"Jun 30, 2025",€2.50m,
328480,Pepelu,Defensive Midfield,"Aug 11, 1998",26,['Spain'],"1,86m",right,"Jul 8, 2023",,Levante UD,"Jun 30, 2028",€22.00m,
495629,Hugo Guillamón,Defensive Midfield,"Jan 31, 2000",24,['Spain'],"1,78m",right,"Jul 1, 2020",,Valencia Mestalla,"Jun 30, 2026",€8.00m,
671915,Enzo Barrenechea,Defensive Midfield,"May 22, 2001",23,['Argentina'],"1,86m",right,"Aug 30, 2024","On loan from Aston Villa until Jun 30, 2025",Aston Villa,"Jun 30, 2025",€7.50m,
834764,Javi Guerra,Central Midfield,"May 13, 2003",21,['Spain'],"1,87m",right,"Jul 1, 2023",,Valencia Mestalla,"Jun 30, 2027",€20.00m,
375382,André Almeida,Central Midfield,"May 30, 2000",24,['Portugal'],"1,76m",right,"Aug 25, 2022",,Vitória Guimarães SC,"Jun 30, 2028",€15.00m,
617081,Diego López,Left Winger,"May 13, 2002",22,['Spain'],"1,72m",right,"Jul 1, 2023",,Valencia Mestalla,"Jun 30, 2027",€14.00m,
278837,Luis Rioja,Left Winger,"Oct 16, 1993",30,['Spain'],"1,76m",left,"Aug 22, 2024","Joined from Deportivo Alavés; date: Aug 22, 2024; fee: €1.20m",Deportivo Alavés,"Jun 30, 2026",€4.00m,
622988,Fran Pérez,Right Winger,"Sep 9, 2002",21,['Spain'],"1,76m",right,"Jul 1, 2023",,Valencia Mestalla,"Jun 30, 2026",€8.00m,
251845,Sergi Canós,Right Winger,"Feb 2, 1997",27,['Spain'],"1,77m",right,"Aug 20, 2023",,Brentford FC,"Jun 30, 2027",€2.50m,
548188,Germán Valera,Right Winger,"Mar 16, 2002",22,"['Spain', 'Lithuania']","1,70m",left,"Aug 30, 2024","Joined from Atlético de Madrid; date: Aug 30, 2024; fee: ?",Atlético de Madrid,"Jun 30, 2028",€2.00m,
573775,Hugo Duro,Centre-Forward,"Nov 10, 1999",24,['Spain'],"1,77m",left,"Jul 1, 2022",,Getafe CF,"Jun 30, 2028",€16.00m,
361254,Rafa Mir,Centre-Forward,"Jun 18, 1997",27,['Spain'],"1,91m",right,"Jul 11, 2024","On loan from Sevilla FC until Jun 30, 2025",Sevilla FC,"Jun 30, 2025",€2.50m,
422460,Dani Gómez,Centre-Forward,"Jul 30, 1998",26,['Spain'],"1,78m",right,"Aug 2, 2024","On loan from Levante UD until Jun 30, 2025",Levante UD,"Jun 30, 2025",€1.20m,
