id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
403151,Robert Sánchez,Goalkeeper,"Nov 18, 1997",26,"['Spain', 'England']","1,97m",right,"Aug 5, 2023",Brighton & Hove Albion,"Jun 30, 2030",€20.00m,,
585323,Filip Jørgensen,Goalkeeper,"Apr 16, 2002",22,"['Denmark', 'Sweden']","1,90m",right,"Jul 30, 2024",Villarreal CF,"Jun 30, 2031",€20.00m,"Joined from Villarreal CF; date: Jul 30, 2024; fee: €24.50m",
116648,Marcus Bettinelli,Goalkeeper,"May 24, 1992",32,"['England', 'Italy']","1,93m",right,"Jul 28, 2021",Fulham FC,"Jun 30, 2026",€1.00m,,
490606,Lucas Bergström,Goalkeeper,"Sep 5, 2002",21,['Finland'],"2,05m",right,"Jul 1, 2023",Chelsea FC U21,"Jun 30, 2025",€700k,"Returned after loan spell with IF Brommapojkarna; date: Jun 18, 2024; fee: End of loan",
614258,Levi Colwill,Centre-Back,"Feb 26, 2003",21,['England'],"1,87m",left,"Jul 1, 2022",Chelsea FC U21,"Jun 30, 2029",€50.00m,,
386047,Axel Disasi,Centre-Back,"Mar 11, 1998",26,"['France', 'DR Congo']","1,90m",right,"Aug 4, 2023",AS Monaco,"Jun 30, 2029",€40.00m,,
463603,Benoît Badiashile,Centre-Back,"Mar 26, 2001",23,"['France', 'DR Congo']","1,94m",left,"Jan 5, 2023",AS Monaco,"Jun 30, 2030",€30.00m,,
475411,Wesley Fofana,Centre-Back,"Dec 17, 2000",23,"['France', ""Cote d'Ivoire""]","1,86m",right,"Aug 31, 2022",Leicester City,"Jun 30, 2029",€25.00m,,
258878,Tosin Adarabioyo,Centre-Back,"Sep 24, 1997",26,"['England', 'Nigeria']","1,96m",right,"Jul 1, 2024",Fulham FC,"Jun 30, 2028",€20.00m,"Joined from Fulham FC; date: Jul 1, 2024; fee: free transfer",
284857,Marc Cucurella,Left-Back,"Jul 22, 1998",26,['Spain'],"1,73m",left,"Aug 5, 2022",Brighton & Hove Albion,"Jun 30, 2028",€30.00m,,
316125,Ben Chilwell,Left-Back,"Dec 21, 1996",27,"['England', 'New Zealand']","1,80m",left,"Aug 26, 2020",Leicester City,"Jun 30, 2027",€28.00m,,
