id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
130164,Jordan Pickford,Goalkeeper,"Mar 7, 1994",30,['England'],"1,85m",left,"Jul 1, 2017",Sunderland AFC,"Jun 30, 2027",€22.00m,,
329813,João Virgínia,Goalkeeper,"Oct 10, 1999",24,['Portugal'],"1,92m",left,"Jul 1, 2020",Everton FC U23,"Jun 30, 2025",€800k,,
33873,Asmir Begovic,Goalkeeper,"Jun 20, 1987",37,"['Bosnia-Herzegovina', 'Canada']","1,99m",right,"Aug 23, 2024",Queens Park Rangers,"Jun 30, 2025",€300k,"Joined from Queens Park Rangers; date: Aug 23, 2024; fee: free transfer",
661053,Jarrad Branthwaite,Centre-Back,"Jun 27, 2002",22,['England'],"1,95m",left,"Jan 13, 2020",Carlisle United,"Jun 30, 2027",€42.00m,,
173504,James Tarkowski,Centre-Back,"Nov 19, 1992",31,"['England', 'Poland']","1,85m",right,"Jul 2, 2022",: Ablöse free transfer,"Jun 30, 2026",€13.00m,,
711544,Jake O'Brien,Centre-Back,"May 15, 2001",23,['Ireland'],"1,97m",right,"Jul 30, 2024",Olympique Lyon,"Jun 30, 2028",€12.00m,"Joined from Olympique Lyon; date: Jul 30, 2024; fee: €19.50m",
118534,Michael Keane,Centre-Back,"Jan 11, 1993",31,"['England', 'Ireland']","1,88m",right,"Jul 3, 2017",: Ablöse €28.50m,"Jun 30, 2025",€6.00m,,
404842,Vitaliy Mykolenko,Left-Back,"May 29, 1999",25,['Ukraine'],"1,80m",left,"Jan 1, 2022",Dynamo Kyiv,"Jun 30, 2026",€28.00m,,
14086,Ashley Young,Left-Back,"Jul 9, 1985",39,"['England', 'Jamaica']","1,75m",both,"Jul 13, 2023",: Ablöse free transfer,"Jun 30, 2025",€500k,,
424015,Nathan Patterson,Right-Back,"Oct 16, 2001",22,['Scotland'],"1,89m",right,"Jan 4, 2022",: Ablöse €14.00m,"Jun 30, 2027",€15.00m,,
68390,Séamus Coleman,Right-Back,"Oct 11, 1988",35,['Ireland'],"1,77m",right,"Jan 1, 2009",Sligo Rovers,"Jun 30, 2025",€500k,,Team captain
505219,James Garner,Defensive Midfield,"Mar 13, 2001",23,['England'],"1,82m",right,"Sep 1, 2022",Manchester United,"Jun 30, 2026",€22.00m,,
289592,Orel Mangala,Central Midfield,"Mar 18, 1998",26,"['Belgium', 'DR Congo']","1,78m",right,"Aug 30, 2024",Olympique Lyon,"Jun 30, 2025",€20.00m,"On loan from Olympique Lyon until Jun 30, 2025",
127187,Abdoulaye Doucouré,Central Midfield,"Jan 1, 1993",31,"['Mali', 'France']","1,83m",right,"Sep 8, 2020",Watford FC,"Jun 30, 2025",€10.00m,,
696589,Tim Iroegbunam,Central Midfield,"Jun 30, 2003",21,"['England', 'Nigeria']","1,83m",right,"Jul 1, 2024",Aston Villa,"Jun 30, 2027",€4.00m,"Joined from Aston Villa; date: Jul 1, 2024; fee: €10.70m",
126665,Idrissa Gueye,Central Midfield,"Sep 26, 1989",34,['Senegal'],"1,74m",right,"Sep 1, 2022",Paris Saint-Germain,"Jun 30, 2025",€3.00m,,
513245,Jesper Lindstrøm,Attacking Midfield,"Feb 29, 2000",24,['Denmark'],"1,82m",right,"Jul 26, 2024",SSC Napoli,"Jun 30, 2025",€22.00m,"On loan from SSC Napoli until Jun 30, 2025",
584769,Dwight McNeil,Left Winger,"Nov 22, 1999",24,['England'],"1,83m",left,"Jul 28, 2022",: Ablöse €17.00m,"Jun 30, 2027",€22.00m,,
417346,Jack Harrison,Right Winger,"Nov 20, 1996",27,['England'],"1,75m",left,"Aug 14, 2023",Leeds United,"Jun 30, 2025",€18.00m,"On loan from Leeds United until Jun 30, 2025",
571743,Armando Broja,Centre-Forward,"Sep 10, 2001",22,"['Albania', 'England']","1,91m",right,"Aug 30, 2024",Chelsea FC,"May 31, 2025",€22.00m,"On loan from Chelsea FC until May 31, 2025",
306024,Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997",27,['England'],"1,89m",right,"Aug 31, 2016",Sheffield United,"Jun 30, 2025",€22.00m,,
595809,Beto,Centre-Forward,"Jan 31, 1998",26,"['Portugal', 'Guinea-Bissau']","1,94m",right,"Aug 29, 2023",Udinese Calcio,"Jun 30, 2027",€20.00m,,
623570,Iliman Ndiaye,Centre-Forward,"Mar 6, 2000",24,"['Senegal', 'France']","1,80m",right,"Jul 3, 2024",Olympique Marseille,"Jun 30, 2029",€15.00m,"Joined from Olympique Marseille; date: Jul 3, 2024; fee: €18.00m",
670688,Chermiti,Centre-Forward,"May 24, 2004",20,"['Portugal', 'Tunisia']","1,92m",right,"Aug 11, 2023",Sporting CP,"Jun 30, 2027",€9.00m,,
