id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,joined,signedFrom,contract,marketValue,status
371021,Arijanet Muric,Goalkeeper,"Nov 7, 1998",25,"['Kosovo', 'Montenegro']","1,98m",right,"Jul 17, 2024","Joined from Burnley FC; date: Jul 17, 2024; fee: €9.55m",Burnley FC,"Jun 30, 2028",€7.00m,
208379,Christian Walton,Goalkeeper,"Nov 9, 1995",28,['England'],"1,95m",left,"Jan 19, 2022",,Brighton & Hove Albion,"Jun 30, 2025",€900k,
621997,Cieran Slicker,Goalkeeper,"Sep 15, 2002",21,"['Scotland', 'England']",,,"Jul 8, 2023",,Manchester City U21,"Jun 30, 2026",€300k,
693095,Jacob Greaves,Centre-Back,"Sep 12, 2000",23,['England'],"1,93m",left,"Jul 12, 2024","Joined from Hull City; date: Jul 12, 2024; fee: €21.50m",Hull City,"Jun 30, 2029",€15.00m,
401320,Dara O'Shea,Centre-Back,"Mar 4, 1999",25,['Ireland'],"1,89m",right,"Aug 25, 2024","Joined from Burnley FC; date: Aug 25, 2024; fee: €14.20m",Burnley FC,"Jun 30, 2029",€7.00m,
342046,Axel Tuanzebe,Centre-Back,"Nov 14, 1997",26,"['DR Congo', 'England']","1,85m",right,"Sep 8, 2023",,Without Club,"Jun 30, 2025",€2.20m,
527425,Luke Woolfenden,Centre-Back,"Oct 21, 1998",25,['England'],"1,93m",right,"Jul 1, 2017",,Ipswich Town U18,"Jun 30, 2025",€2.00m,
255788,Cameron Burgess,Centre-Back,"Oct 21, 1995",28,"['Australia', 'Scotland']","1,94m",left,"Aug 15, 2021",,Accrington Stanley,"Jun 30, 2025",€1.50m,
596446,Leif Davis,Left-Back,"Dec 31, 1999",24,['England'],"1,82m",left,"Jul 25, 2022",,Leeds United,"Jun 30, 2025",€9.00m,
146509,Conor Townsend,Left-Back,"Mar 4, 1993",31,['England'],"1,83m",left,"Aug 1, 2024","Joined from West Bromwich Albion; date: Aug 1, 2024; fee: €590k",West Bromwich Albion,"Jun 30, 2026",€1.50m,
468002,Ben Johnson,Right-Back,"Jan 24, 2000",24,['England'],"1,84m",right,"Jul 1, 2024","Joined from West Ham United; date: Jul 1, 2024; fee: free transfer",West Ham United,"Jun 30, 2028",€8.00m,
528892,Harry Clarke,Right-Back,"Mar 2, 2001",23,['England'],"1,80m",right,"Jan 19, 2023",,Arsenal FC U21,"Jun 30, 2026",€5.00m,
351749,Kalvin Phillips,Defensive Midfield,"Dec 2, 1995",28,"['England', 'Jamaica']","1,79m",right,"Aug 16, 2024","On loan from Manchester City until Jun 30, 2025",Manchester City,"Jun 30, 2025",€25.00m,
468066,Jens Cajuste,Defensive Midfield,"Aug 10, 1999",25,"['Sweden', 'United States']","1,88m",right,"Aug 19, 2024","On loan from SSC Napoli until Jun 30, 2025",SSC Napoli,"Jun 30, 2025",€10.00m,
458178,Jack Taylor,Central Midfield,"Jun 23, 1998",26,"['Ireland', 'England']","1,85m",right,"Jul 1, 2023",,Peterborough United,"Jun 30, 2026",€1.80m,
123551,Sam Morsy,Central Midfield,"Sep 10, 1991",32,"['Egypt', 'England']","1,75m",right,"Aug 31, 2021",,Middlesbrough FC,"Jun 30, 2026",€900k,Team captain
181687,Massimo Luongo,Central Midfield,"Sep 25, 1992",31,"['Australia', 'Italy']","1,76m",right,"Jan 5, 2023",,Middlesbrough FC,"Jun 30, 2025",€500k,
292139,Sammie Szmodics,Attacking Midfield,"Sep 24, 1995",28,"['Ireland', 'Hungary']","1,68m",right,"Aug 16, 2024","Joined from Blackburn Rovers; date: Aug 16, 2024; fee: €10.60m",Blackburn Rovers,"Jun 30, 2028",€7.00m,
559794,Jack Clarke,Left Winger,"Nov 23, 2000",23,['England'],"1,81m",right,"Aug 24, 2024","Joined from Sunderland AFC; date: Aug 24, 2024; fee: €17.70m",Sunderland AFC,"Jun 30, 2029",€15.00m,
344009,Nathan Broadhead,Left Winger,"Apr 5, 1998",26,['Wales'],"1,78m",right,"Jan 9, 2023",,Everton FC U21,"Jun 30, 2026",€5.00m,
392591,Chiedozie Ogbene,Right Winger,"May 1, 1997",27,"['Ireland', 'Nigeria']","1,81m",right,"Aug 28, 2024","Joined from Luton Town; date: Aug 28, 2024; fee: €9.50m",Luton Town,"Jun 30, 2028",€8.00m,
741238,Omari Hutchinson,Right Winger,"Oct 30, 2003",20,"['England', 'Jamaica']","1,74m",left,"Jul 1, 2024","Joined from Chelsea FC; date: Jul 1, 2024; fee: €23.50m",Chelsea FC,"Jun 30, 2029",€7.00m,
255731,Wes Burns,Right Winger,"Nov 23, 1994",29,['Wales'],"1,73m",right,"Jul 1, 2021",,Fleetwood Town,"Jun 30, 2025",€1.50m,
349503,Conor Chaplin,Second Striker,"Feb 16, 1997",27,['England'],"1,68m",left,"Jul 27, 2021",,Barnsley FC,"Jun 30, 2026",€7.00m,
610849,Liam Delap,Centre-Forward,"Feb 8, 2003",21,"['England', 'Ireland']","1,86m",right,"Jul 13, 2024","Joined from Manchester City U21; date: Jul 13, 2024; fee: €17.85m",Manchester City U21,"Jun 30, 2029",€8.00m,
420808,George Hirst,Centre-Forward,"Feb 15, 1999",25,"['England', 'Scotland']","1,91m",right,"Jul 13, 2023",,Leicester City,"Jun 30, 2027",€4.00m,
610581,Ali Al-Hamadi,Centre-Forward,"Mar 1, 2002",22,"['Iraq', 'England']","1,87m",right,"Jan 29, 2024",,AFC Wimbledon,"Jun 30, 2028",€1.00m,
