id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
105470,Alisson,Goalkeeper,"Oct 2, 1992",31,['Brazil'],"1,93m",right,"Jul 19, 2018",AS Roma,"Jun 30, 2027",€28.00m,,
340918,Caoimhín Kelleher,Goalkeeper,"Nov 23, 1998",25,['Ireland'],"1,88m",right,"Jul 1, 2019",Liverpool FC U23,"Jun 30, 2026",€20.00m,,
486604,Vitezslav Jaros,Goalkeeper,"Jul 23, 2001",23,['Czech Republic'],"1,90m",right,"Jul 1, 2024",Liverpool FC U21,"Jun 30, 2025",€5.00m,"Internal transfer: Liverpool FC U21; date: Jul 1, 2024",
357119,Ibrahima Konaté,Centre-Back,"May 25, 1999",25,"['France', 'Mali']","1,94m",right,"Jul 1, 2021",RB Leipzig,"Jun 30, 2026",€45.00m,,
139208,Virgil van Dijk,Centre-Back,"Jul 8, 1991",33,"['Netherlands', 'Suriname']","1,95m",right,"Jan 1, 2018",Southampton FC,"Jun 30, 2025",€30.00m,,Team captain
256178,Joe Gomez,Centre-Back,"May 23, 1997",27,"['England', 'The Gambia']","1,88m",right,"Jul 1, 2015",Charlton Athletic,"Jun 30, 2027",€28.00m,,
632349,Jarell Quansah,Centre-Back,"Jan 29, 2003",21,"['England', 'Scotland']","1,90m",right,"Jul 1, 2023",Liverpool FC U21,"Jun 30, 2027",€22.00m,,
234803,Andrew Robertson,Left-Back,"Mar 11, 1994",30,['Scotland'],"1,78m",left,"Jul 21, 2017",: Ablöse €9.00m,"Jun 30, 2026",€30.00m,,
338070,Konstantinos Tsimikas,Left-Back,"May 12, 1996",28,['Greece'],"1,79m",left,"Aug 10, 2020",: Ablöse €13.00m,"Jun 30, 2027",€22.00m,,
314353,Trent Alexander-Arnold,Right-Back,"Oct 7, 1998",25,['England'],"1,80m",right,"Jul 1, 2016",Liverpool FC U18,"Jun 30, 2025",€70.00m,,
624258,Conor Bradley,Right-Back,"Jul 9, 2003",21,['Northern Ireland'],"1,81m",right,"Jul 1, 2023",Liverpool FC U21,"Jun 30, 2027",€15.00m,,
146310,Wataru Endo,Defensive Midfield,"Feb 9, 1993",31,['Japan'],"1,78m",right,"Aug 18, 2023",VfB Stuttgart,"Jun 30, 2027",€13.00m,,
451276,Dominik Szoboszlai,Central Midfield,"Oct 25, 2000",23,['Hungary'],"1,87m",right,"Jul 2, 2023",RB Leipzig,"Jun 30, 2028",€75.00m,,
534033,Alexis Mac Allister,Central Midfield,"Dec 24, 1998",25,"['Argentina', 'Italy']","1,76m",right,"Jul 1, 2023",Brighton & Hove Albion,"Jun 30, 2028",€75.00m,,
433188,Curtis Jones,Central Midfield,"Jan 30, 2001",23,['England'],"1,85m",right,"Jul 1, 2020",Liverpool FC U23,"Jun 30, 2027",€35.00m,,
565822,Harvey Elliott,Central Midfield,"Apr 4, 2003",21,['England'],"1,70m",left,"Jul 1, 2021",Liverpool FC U23,"Jun 30, 2027",€35.00m,,
478573,Ryan Gravenberch,Central Midfield,"May 16, 2002",22,"['Netherlands', 'Suriname']","1,90m",right,"Sep 1, 2023",Bayern Munich,"Jun 30, 2028",€35.00m,,
480692,Luis Díaz,Left Winger,"Jan 13, 1997",27,['Colombia'],"1,80m",right,"Jan 30, 2022",FC Porto,"Jun 30, 2027",€75.00m,,
434675,Cody Gakpo,Left Winger,"May 7, 1999",25,"['Netherlands', 'Togo']","1,93m",right,"Jan 1, 2023",PSV Eindhoven,"Jun 30, 2028",€55.00m,,
340950,Diogo Jota,Left Winger,"Dec 4, 1996",27,['Portugal'],"1,78m",right,"Sep 19, 2020",Wolverhampton Wanderers,"Jun 30, 2027",€50.00m,,
341092,Federico Chiesa,Left Winger,"Oct 25, 1997",26,['Italy'],"1,75m",right,"Aug 29, 2024",Juventus FC,"Jun 30, 2028",€35.00m,"Joined from Juventus FC; date: Aug 29, 2024; fee: €12.00m",
148455,Mohamed Salah,Right Winger,"Jun 15, 1992",32,['Egypt'],"1,75m",left,"Jul 1, 2017",AS Roma,"Jun 30, 2025",€55.00m,,
546543,Darwin Núñez,Centre-Forward,"Jun 24, 1999",25,['Uruguay'],"1,87m",right,"Jul 1, 2022",SL Benfica,"Jun 30, 2028",€70.00m,,
