id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
234509,André Onana,Goalkeeper,"Apr 2, 1996",28,['Cameroon'],"1,90m",right,"Jul 20, 2023",Inter Milan,"Jun 30, 2028",€35.00m,,
336077,Altay Bayındır,Goalkeeper,"Apr 14, 1998",26,['Türkiye'],"1,98m",right,"Sep 1, 2023",Fenerbahce,"Jun 30, 2027",€10.00m,,
34130,Tom Heaton,Goalkeeper,"Apr 15, 1986",38,['England'],"1,88m",right,"Jul 2, 2021",: Ablöse free transfer,"Jun 30, 2025",€250k,,
326031,Matthijs de Ligt,Centre-Back,"Aug 12, 1999",25,['Netherlands'],"1,89m",right,"Aug 13, 2024",Bayern Munich,"Jun 30, 2029",€65.00m,"Joined from Bayern Munich; date: Aug 13, 2024; fee: €45.00m",
480762,Lisandro Martínez,Centre-Back,"Jan 18, 1998",26,['Argentina'],"1,75m",left,"Jul 27, 2022",Ajax Amsterdam,"Jun 30, 2027",€50.00m,,
923831,Leny Yoro,Centre-Back,"Nov 13, 2005",18,"['France', ""Cote d'Ivoire""]","1,90m",right,"Jul 18, 2024",LOSC Lille,"Jun 30, 2029",€50.00m,"Joined from LOSC Lille; date: Jul 18, 2024; fee: €62.00m","Ankle injury - Return expected on Oct 31, 2024"
177907,Harry Maguire,Centre-Back,"Mar 5, 1993",31,['England'],"1,94m",right,"Aug 5, 2019",Leicester City,"Jun 30, 2025",€18.00m,,
184573,Victor Lindelöf,Centre-Back,"Jul 17, 1994",30,['Sweden'],"1,87m",right,"Jul 1, 2017",SL Benfica,"Jun 30, 2025",€15.00m,,
42412,Jonny Evans,Centre-Back,"Jan 3, 1988",36,['Northern Ireland'],"1,88m",both,"Jul 18, 2023",Leicester City,"Jun 30, 2025",€2.00m,,
183288,Luke Shaw,Left-Back,"Jul 12, 1995",29,['England'],"1,78m",left,"Jul 1, 2014",Southampton FC,"Jun 30, 2027",€32.00m,,
339340,Tyrell Malacia,Left-Back,"Aug 17, 1999",25,"['Netherlands', 'Curacao']","1,69m",left,"Jul 5, 2022",: Ablöse €15.00m,"Jun 30, 2026",€18.00m,,Knee injury - Return unknown
357147,Diogo Dalot,Right-Back,"Mar 18, 1999",25,['Portugal'],"1,83m",right,"Jul 1, 2018",FC Porto,"Jun 30, 2028",€35.00m,,
340456,Noussair Mazraoui,Right-Back,"Nov 14, 1997",26,"['Morocco', 'Netherlands']","1,83m",right,"Aug 13, 2024",Bayern Munich,"Jun 30, 2028",€30.00m,"Joined from Bayern Munich; date: Aug 13, 2024; fee: €15.00m",
476701,Manuel Ugarte,Defensive Midfield,"Apr 11, 2001",23,['Uruguay'],"1,82m",right,"Aug 30, 2024",Paris Saint-Germain,"Jun 30, 2029",€45.00m,"Joined from Paris Saint-Germain; date: Aug 30, 2024; fee: €50.00m",
