id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
192080,Nick Pope,Goalkeeper,"Apr 19, 1992",32,['England'],"1,98m",right,"Jul 1, 2022",: Ablöse €11.50m,"Jun 30, 2026",€16.00m,,
124419,Odysseas Vlachodimos,Goalkeeper,"Apr 26, 1994",30,"['Greece', 'Germany']","1,91m",right,"Jul 1, 2024",Nottingham Forest,,€7.00m,"Joined from Nottingham Forest; date: Jul 1, 2024; fee: €23.60m",
74960,Martin Dúbravka,Goalkeeper,"Jan 15, 1989",35,['Slovakia'],"1,91m",right,"Jul 1, 2018",: Ablöse €4.00m,"Jun 30, 2025",€1.00m,,
142389,Mark Gillespie,Goalkeeper,"Mar 27, 1992",32,['England'],"1,91m",right,"Jul 3, 2020",Motherwell FC,"Jun 30, 2025",€300k,,
29712,John Ruddy,Goalkeeper,"Oct 24, 1986",37,['England'],"1,92m",right,"Jul 1, 2024",Birmingham City,"Jun 30, 2025",€200k,"Joined from Birmingham City; date: Jul 1, 2024; fee: free transfer",
361093,Sven Botman,Centre-Back,"Jan 12, 2000",24,['Netherlands'],"1,95m",left,"Jul 1, 2022",LOSC Lille,"Jun 30, 2027",€45.00m,,"Cruciate ligament surgery - Return expected on Oct 1, 2024"
480116,Lloyd Kelly,Centre-Back,"Oct 6, 1998",25,['England'],"1,90m",left,"Jul 1, 2024",AFC Bournemouth,"Jun 30, 2029",€18.00m,"Joined from AFC Bournemouth; date: Jul 1, 2024; fee: free transfer",
135343,Fabian Schär,Centre-Back,"Dec 20, 1991",32,['Switzerland'],"1,86m",right,"Jul 26, 2018",Deportivo de La Coruña,"Jun 30, 2025",€10.00m,,"Red card suspension - until Sep 2, 2024 - Premier League - 3 matchdays"
183318,Jamaal Lascelles,Centre-Back,"Nov 11, 1993",30,"['England', 'Barbados']","1,88m",right,"Aug 9, 2014",: Ablöse €5.00m,"Jun 30, 2025",€7.00m,,"Team captain; Cruciate ligament injury - Return expected on Nov 1, 2024"
670858,Lewis Hall,Left-Back,"Sep 8, 2004",19,['England'],"1,79m",left,"Jul 1, 2024",Chelsea FC,,€18.00m,"Joined from Chelsea FC; date: Jul 1, 2024; fee: €33.00m",
250478,Matt Targett,Left-Back,"Sep 18, 1995",28,"['England', 'Scotland']","1,83m",left,"Jul 1, 2022",: Ablöse €17.50m,"Jun 30, 2026",€10.00m,,
134270,Dan Burn,Left-Back,"May 9, 1992",32,['England'],"2,01m",left,"Jan 31, 2022",Brighton & Hove Albion,"Jun 30, 2025",€8.00m,,
