id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,joined,status
120629,Alphonse Areola,Goalkeeper,"Feb 27, 1993",31,"['France', 'Philippines']","1,95m",right,"Jul 1, 2022",Paris Saint-Germain,"Jun 30, 2027",€10.00m,,
61697,Wes Foderingham,Goalkeeper,"Jan 14, 1991",33,['England'],"1,85m",left,"Jul 1, 2024",Sheffield United,"Jun 30, 2026",€900k,"Joined from Sheffield United; date: Jul 1, 2024; fee: free transfer",
29692,Lukasz Fabianski,Goalkeeper,"Apr 18, 1985",39,['Poland'],"1,90m",right,"Jul 1, 2018",: Ablöse €8.00m,"Jun 30, 2025",€700k,,
605184,Jean-Clair Todibo,Centre-Back,"Dec 30, 1999",24,"['France', 'French Guiana']","1,90m",right,"Aug 10, 2024",OGC Nice,"Jun 30, 2025",€35.00m,"On loan from OGC Nice until Jun 30, 2025",
525247,Max Kilman,Centre-Back,"May 23, 1997",27,"['England', 'Ukraine']","1,94m",left,"Jul 6, 2024",Wolverhampton Wanderers,"Jun 30, 2031",€32.00m,"Joined from Wolverhampton Wanderers; date: Jul 6, 2024; fee: €47.50m",
415912,Konstantinos Mavropanos,Centre-Back,"Dec 11, 1997",26,['Greece'],"1,94m",right,"Aug 22, 2023",VfB Stuttgart,"Jun 30, 2028",€20.00m,,
181778,Emerson,Left-Back,"Aug 3, 1994",30,"['Italy', 'Brazil']","1,76m",left,"Aug 23, 2022",Chelsea FC,"Jun 30, 2026",€12.00m,,
92571,Aaron Cresswell,Left-Back,"Dec 15, 1989",34,['England'],"1,70m",left,"Jul 3, 2014",Ipswich Town,"Jun 30, 2025",€900k,,
477758,Aaron Wan-Bissaka,Right-Back,"Nov 26, 1997",26,"['England', 'DR Congo']","1,83m",right,"Aug 13, 2024",Manchester United,"Jun 30, 2031",€20.00m,"Joined from Manchester United; date: Aug 13, 2024; fee: €17.60m",
157672,Vladimír Coufal,Right-Back,"Aug 22, 1992",32,['Czech Republic'],"1,74m",right,"Oct 2, 2020",: Ablöse €6.00m,"Jun 30, 2025",€8.00m,,
401356,Edson Álvarez,Defensive Midfield,"Oct 24, 1997",26,['Mexico'],"1,90m",right,"Aug 10, 2023",Ajax Amsterdam,"Jun 30, 2028",€35.00m,,
283628,Tomas Soucek,Defensive Midfield,"Feb 27, 1995",29,['Czech Republic'],"1,92m",right,"Jul 27, 2020",: Ablöse €16.20m,"Jun 30, 2027",€30.00m,,
342385,Guido Rodríguez,Defensive Midfield,"Apr 12, 1994",30,"['Argentina', 'Italy']","1,85m",right,"Aug 6, 2024",Real Betis Balompié,,€20.00m,"Joined from Real Betis Balompié; date: Aug 6, 2024; fee: free transfer",
372246,Carlos Soler,Central Midfield,"Jan 2, 1997",27,['Spain'],"1,80m",right,"Aug 30, 2024",Paris Saint-Germain,"Jun 30, 2025",€20.00m,"On loan from Paris Saint-Germain until Jun 30, 2025",
430310,Andy Irving,Central Midfield,"May 13, 2000",24,['Scotland'],"1,90m",left,"Aug 31, 2023",SK Austria Klagenfurt,"Jun 30, 2026",€2.00m,"Returned after loan spell with SK Austria Klagenfurt; date: Jun 30, 2024; fee: End of loan",
444523,Lucas Paquetá,Attacking Midfield,"Aug 27, 1997",27,"['Brazil', 'Portugal']","1,80m",left,"Aug 29, 2022",Olympique Lyon,"Jun 30, 2027",€65.00m,,
543499,Mohammed Kudus,Attacking Midfield,"Aug 2, 2000",24,['Ghana'],"1,77m",left,"Aug 27, 2023",Ajax Amsterdam,"Jun 30, 2028",€50.00m,,
474701,Crysencio Summerville,Left Winger,"Oct 30, 2001",22,"['Netherlands', 'Suriname']","1,74m",right,"Aug 3, 2024",Leeds United,"Jun 30, 2029",€20.00m,"Joined from Leeds United; date: Aug 3, 2024; fee: €29.30m",
314875,Jarrod Bowen,Right Winger,"Dec 20, 1996",27,['England'],"1,76m",left,"Jan 31, 2020",Hull City,"Jun 30, 2030",€50.00m,,Team captain
991800,Luis Guilherme,Right Winger,"Feb 9, 2006",18,['Brazil'],"1,75m",left,"Jul 1, 2024",Sociedade Esportiva Palmeiras,"Jun 30, 2029",€24.00m,"Joined from Sociedade Esportiva Palmeiras; date: Jul 1, 2024; fee: €23.00m",
75489,Niclas Füllkrug,Centre-Forward,"Feb 9, 1993",31,['Germany'],"1,89m",right,"Aug 5, 2024",Borussia Dortmund,"Jun 30, 2028",€15.00m,"Joined from Borussia Dortmund; date: Aug 5, 2024; fee: €27.00m",
134294,Danny Ings,Centre-Forward,"Jul 23, 1992",32,['England'],"1,77m",right,"Jan 20, 2023",: Ablöse €12.00m,"Jun 30, 2025",€8.00m,,
104124,Michail Antonio,Centre-Forward,"Mar 28, 1990",34,"['Jamaica', 'England']","1,80m",right,"Sep 1, 2015",: Ablöse €9.50m,"Jun 30, 2025",€4.00m,,
